source_id,stage,stage_index,model,anchor_scenario,delta_mse_from_colab,delta_detail_mse_from_colab,delta_psnr_db_from_colab
0801,linear_float,0,observed,blur_noise,4.5319650809894085e-17,8.700722434196173e-18,0.0
0801,linear_float,0,gradient_nominal,blur_noise,5.605325231750058e-17,4.8490942164414186e-17,0.0
0801,linear_float,0,drunet_denoise_only,blur_noise,1.3286274641241547e-11,1.3464119955671622e-12,-1.1354774898109099e-07
0801,linear_float,0,dpir_nominal,blur_noise,2.122385253655601e-11,4.043692952097194e-12,-2.6466958757964676e-07
0801,linear_float,0,dpir_oracle_blur,blur_noise,5.01222574187353e-12,3.2142516458773945e-12,-1.3227331407961174e-07
0801,jpeg_q75,3,observed,blur_noise_jpeg,6.537739100087592e-17,1.5395670849294163e-17,-7.105427357601002e-15
0801,jpeg_q75,3,gradient_nominal,blur_noise_jpeg,8.993457020767259e-17,9.020562075079397e-17,0.0
0801,jpeg_q75,3,drunet_denoise_only,blur_noise_jpeg,1.283313548743753e-11,5.987840702870867e-13,-1.0565724295474865e-07
0801,jpeg_q75,3,dpir_nominal,blur_noise_jpeg,-8.40610213815457e-11,-8.823367763418494e-11,6.534158956128522e-07
0801,jpeg_q75,3,dpir_oracle_blur,blur_noise_jpeg,-1.5278799872422283e-10,-7.550488459831008e-11,1.290556745914273e-06
0802,linear_float,0,observed,blur_noise,6.917209860457518e-17,8.023096076392733e-17,3.552713678800501e-15
0802,linear_float,0,gradient_nominal,blur_noise,6.494371013188172e-17,1.8756697583999227e-17,-7.105427357601002e-15
0802,linear_float,0,drunet_denoise_only,blur_noise,2.0615804961592044e-11,1.9323477551142637e-12,-1.3860947944976942e-07
0802,linear_float,0,dpir_nominal,blur_noise,1.8789251946850494e-11,2.664097810628832e-12,-1.6885343256944907e-07
0802,linear_float,0,dpir_oracle_blur,blur_noise,1.679771333964672e-11,8.665599135612365e-12,-2.655790467542829e-07
0802,jpeg_q75,3,observed,blur_noise_jpeg,1.929879867024198e-17,7.882149793969617e-17,3.552713678800501e-15
0802,jpeg_q75,3,gradient_nominal,blur_noise_jpeg,6.646159317336142e-17,9.324138683375338e-18,-7.105427357601002e-15
0802,jpeg_q75,3,drunet_denoise_only,blur_noise_jpeg,1.3125585904619208e-11,5.91745619518691e-14,-8.265384821015687e-08
0802,jpeg_q75,3,dpir_nominal,blur_noise_jpeg,-5.0947140386656264e-12,-1.7189578916092935e-11,3.6739045583544794e-08
0802,jpeg_q75,3,dpir_oracle_blur,blur_noise_jpeg,-1.0449967464704751e-10,-4.87414668088465e-11,6.719856529002755e-07
0803,linear_float,0,observed,blur_noise,3.859759734048396e-17,9.812029660993815e-18,0.0
0803,linear_float,0,gradient_nominal,blur_noise,9.638557313396134e-17,8.546223624616989e-17,0.0
0803,linear_float,0,drunet_denoise_only,blur_noise,3.0737089197659107e-11,2.7129155313280334e-12,-1.8048853078767024e-07
0803,linear_float,0,dpir_nominal,blur_noise,4.132294186736177e-11,6.781877549778478e-12,-3.796585872350988e-07
0803,linear_float,0,dpir_oracle_blur,blur_noise,3.2613724831116915e-11,1.9674608066322895e-11,-1.2486290827951052e-06
0803,jpeg_q75,3,observed,blur_noise_jpeg,1.3010426069826053e-17,1.6994869053710282e-17,3.552713678800501e-15
0803,jpeg_q75,3,gradient_nominal,blur_noise_jpeg,7.686993402922226e-17,6.369687763352339e-17,0.0
0803,jpeg_q75,3,drunet_denoise_only,blur_noise_jpeg,2.950835561142673e-11,2.370953368531492e-12,-1.6591300777690776e-07
0803,jpeg_q75,3,dpir_nominal,blur_noise_jpeg,-9.637403776494718e-11,-1.190939044972729e-10,5.857154974364676e-07
0803,jpeg_q75,3,dpir_oracle_blur,blur_noise_jpeg,-3.022934264018673e-10,-1.6295087425666904e-10,1.5266558186510792e-06
0804,linear_float,0,observed,blur_noise,7.19910242530375e-17,1.7997756063259374e-17,0.0
0804,linear_float,0,gradient_nominal,blur_noise,2.1033522146218786e-17,4.336808689942018e-19,-3.552713678800501e-15
0804,linear_float,0,drunet_denoise_only,blur_noise,4.234406228431631e-11,6.6182786247898084e-12,-8.36963209849273e-08
0804,linear_float,0,dpir_nominal,blur_noise,5.542437472513817e-11,8.283838784199637e-12,-1.4580334806169049e-07
0804,linear_float,0,dpir_oracle_blur,blur_noise,8.095943761308316e-11,4.940817535919323e-11,-4.5238699897254264e-07
0804,jpeg_q75,3,observed,blur_noise_jpeg,5.160802341031001e-17,7.892991815694472e-17,0.0
0804,jpeg_q75,3,gradient_nominal,blur_noise_jpeg,5.2475385148298415e-17,6.635317295611287e-17,0.0
0804,jpeg_q75,3,drunet_denoise_only,blur_noise_jpeg,4.0318557954083234e-11,4.92287721004514e-12,-7.811658164769142e-08
0804,jpeg_q75,3,dpir_nominal,blur_noise_jpeg,-2.3044520371801047e-10,-2.508883005861162e-10,4.830351407747457e-07
0804,jpeg_q75,3,dpir_oracle_blur,blur_noise_jpeg,-4.669155667571395e-10,-2.566400176141209e-10,1.1191250521846996e-06
