source_id,stage_index,stage,nominal_minus_classical_detail_mse,nominal_minus_classical_psnr_db,change_in_detail_gap
0801,0,linear_float,-1.7754500878655534e-05,0.627370851238922,
0801,1,clipped_float,-1.7753209353609634e-05,0.6273352100246754,1.291525045899822e-09
0801,2,quantized_8bit,-1.808053746010148e-05,0.6365218077646304,-3.273281064918444e-07
0801,3,jpeg_q75,0.00014575688242923218,-1.1062107759718955,0.00016383741988933365
0802,0,linear_float,-1.562139715402094e-05,0.38941522787138183,
0802,1,clipped_float,-1.5561553656376722e-05,0.38816684582781136,5.984349764421638e-08
0802,2,quantized_8bit,-1.5907403326154222e-05,0.3956030056094093,-3.458496697774998e-07
0802,3,jpeg_q75,1.2419638695611757e-05,0.12104791277691618,2.832704202176598e-05
0803,0,linear_float,-2.7282281148907893e-05,0.7186726468052171,
0803,1,clipped_float,-2.7270252267073823e-05,0.7183720870788832,1.2028881834070908e-08
0803,2,quantized_8bit,-2.7575559551907175e-05,0.7245986744203705,-3.0530728483335254e-07
0803,3,jpeg_q75,0.0001247223415317318,-0.5487906662614606,0.000152297901083639
0804,0,linear_float,-5.542178166606168e-05,0.428997359687898,
0804,1,clipped_float,-5.542356818347691e-05,0.42900203237339696,-1.7865174152314686e-09
0804,2,quantized_8bit,-5.5857666963517595e-05,0.4318304444066712,-4.3409878004068217e-07
0804,3,jpeg_q75,0.0002514003577064331,-0.3576668296784611,0.0003072580246699507
