source_id,model,from_stage,to_stage,to_stage_index,delta_mse,delta_psnr_db,delta_detail_mse
0801,dpir_nominal,linear_float,clipped_float,1,-2.837709746003614e-10,3.538737267660963e-06,-2.0308662219904912e-10
0801,dpir_nominal,clipped_float,quantized_8bit,2,-5.6204949220586484e-08,0.0007009549908403301,-2.3857364628033237e-08
0801,dpir_nominal,quantized_8bit,jpeg_q75,3,0.00021050982529662124,-2.0535568684509045,0.00016577101304577965
0801,dpir_oracle_blur,linear_float,clipped_float,1,-1.7786555883464363e-09,4.693927326826497e-05,-8.935532667790364e-10
0801,dpir_oracle_blur,clipped_float,quantized_8bit,2,4.1795932700957445e-07,-0.01101615262695077,1.1135419626532098e-07
0801,dpir_oracle_blur,quantized_8bit,jpeg_q75,3,0.00034917502102165427,-4.936574984070347,0.0001435450435503861
0801,drunet_denoise_only,linear_float,clipped_float,1,4.2002872826987087e-10,-3.5896680117275537e-06,5.6331759596588496e-11
0801,drunet_denoise_only,clipped_float,quantized_8bit,2,1.9691610241056104e-08,-0.00016828597601659112,-1.636160530525026e-08
0801,drunet_denoise_only,quantized_8bit,jpeg_q75,3,1.930125608279147e-05,-0.16189153167042036,3.2813061819177353e-06
0801,gradient_nominal,linear_float,clipped_float,1,-3.6301021735015565e-09,3.917995151425657e-05,-1.4946116680988712e-09
0801,gradient_nominal,clipped_float,quantized_8bit,2,7.869770920009662e-07,-0.008485642749114675,3.034707418638112e-07
0801,gradient_nominal,quantized_8bit,jpeg_q75,3,2.9912341028006447e-05,-0.3108242847143785,1.9335931564459948e-06
0801,observed,linear_float,clipped_float,1,0.0,0.0,0.0
0801,observed,clipped_float,quantized_8bit,2,1.2615129503433476e-06,-0.00991851999632587,9.493022660687629e-07
0801,observed,quantized_8bit,jpeg_q75,3,-1.2803264081623247e-05,0.10173179140789301,-3.194605192696206e-05
0802,dpir_nominal,linear_float,clipped_float,1,1.4423815737228587e-08,-0.00012962097441970855,9.319016718782429e-10
0802,dpir_nominal,clipped_float,quantized_8bit,2,-1.2798343725805477e-07,0.001150270328849956,-6.31580783625363e-08
0802,dpir_nominal,quantized_8bit,jpeg_q75,3,0.00011911209063555477,-0.957038075032564,4.5163352651013915e-05
0802,dpir_oracle_blur,linear_float,clipped_float,1,-1.9316038789784443e-08,0.00030540711883730864,-2.0414191174999725e-08
0802,dpir_oracle_blur,clipped_float,quantized_8bit,2,3.7412094975496557e-07,-0.005911433120871834,4.3846165572884776e-08
0802,dpir_oracle_blur,quantized_8bit,jpeg_q75,3,0.0004003241952621468,-3.9014025407957362,0.00013995292139423618
0802,drunet_denoise_only,linear_float,clipped_float,1,6.862736064215495e-09,-4.614116574330751e-05,-1.4457226106372179e-13
0802,drunet_denoise_only,clipped_float,quantized_8bit,2,2.8472225267793874e-08,-0.00019142594458188,-1.2179206214537166e-08
0802,drunet_denoise_only,quantized_8bit,jpeg_q75,3,4.3692290037848896e-05,-0.28423994905939054,7.0078382208135965e-06
0802,gradient_nominal,linear_float,clipped_float,1,-1.3615115625512878e-07,0.0011187610691507643,-5.8911595972338136e-08
0802,gradient_nominal,clipped_float,quantized_8bit,2,7.654364170298035e-07,-0.006285889452747995,2.826915914149635e-07
0802,gradient_nominal,quantized_8bit,jpeg_q75,3,9.005739890482686e-05,-0.6824829822000709,1.6836310629247936e-05
0802,observed,linear_float,clipped_float,1,0.0,0.0,0.0
0802,observed,clipped_float,quantized_8bit,2,1.2162694564961342e-06,-0.007769321342600222,9.344767680882944e-07
0802,observed,quantized_8bit,jpeg_q75,3,2.9682734830553995e-05,-0.18542343842481301,-1.9363510526889695e-05
0803,dpir_nominal,linear_float,clipped_float,1,1.3218071558736971e-08,-0.00012144076812603544,-1.7836330897761255e-09
0803,dpir_nominal,clipped_float,quantized_8bit,2,4.691323329157962e-09,-4.310062279699878e-05,4.510028701881904e-08
0803,dpir_nominal,quantized_8bit,jpeg_q75,3,0.00024187795608933242,-1.7945971883476943,0.00016443334098398892
0803,dpir_oracle_blur,linear_float,clipped_float,1,-7.554618818294027e-09,0.00028924195995472246,-1.0873933723506285e-08
0803,dpir_oracle_blur,clipped_float,quantized_8bit,2,4.965631756683077e-07,-0.018970938641487578,2.0895591095008168e-07
0803,dpir_oracle_blur,quantized_8bit,jpeg_q75,3,0.0007460226802282988,-8.778537154321668,0.00033568543706544954
0803,drunet_denoise_only,linear_float,clipped_float,1,8.627516397694338e-09,-5.0660644923539166e-05,-1.163165222749533e-09
0803,drunet_denoise_only,clipped_float,quantized_8bit,2,7.494722439990893e-09,-4.4008416399066164e-05,4.451444736682853e-08
0803,drunet_denoise_only,quantized_8bit,jpeg_q75,3,3.2793548459828805e-05,-0.18841335100610124,5.457041020993757e-06
0803,gradient_nominal,linear_float,clipped_float,1,-2.3003683544391834e-08,0.00017911895820788004,-1.3812514923847033e-08
0803,gradient_nominal,clipped_float,quantized_8bit,2,8.057611482312384e-07,-0.006269687964284287,3.504075718521716e-07
0803,gradient_nominal,quantized_8bit,jpeg_q75,3,7.122062508779358e-05,-0.5212078476658633,1.213543990034993e-05
0803,observed,linear_float,clipped_float,1,0.0,0.0,0.0
