stage_index,stage,model,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
0,linear_float,dpir_nominal,0.152099609375,0.01708984375,0.0
0,linear_float,dpir_oracle_blur,0.093505859375,0.003662109375,0.0
0,linear_float,drunet_denoise_only,0.17529296875,0.023681640625,0.0
0,linear_float,gradient_nominal,0.16259765625,0.020751953125,0.0
0,linear_float,observed,0.1875,0.02392578125,0.0
1,clipped_float,dpir_nominal,0.152099609375,0.01708984375,0.0
1,clipped_float,dpir_oracle_blur,0.093505859375,0.003662109375,0.0
1,clipped_float,drunet_denoise_only,0.17529296875,0.023681640625,0.0
1,clipped_float,gradient_nominal,0.16259765625,0.020751953125,0.0
1,clipped_float,observed,0.1875,0.02392578125,0.0
2,quantized_8bit,dpir_nominal,0.152099609375,0.017578125,0.0
2,quantized_8bit,dpir_oracle_blur,0.093994140625,0.003662109375,0.0
2,quantized_8bit,drunet_denoise_only,0.17529296875,0.023681640625,0.0
2,quantized_8bit,gradient_nominal,0.16259765625,0.02099609375,0.0
2,quantized_8bit,observed,0.188720703125,0.02392578125,0.0
3,jpeg_q75,dpir_nominal,0.200927734375,0.046875,0.0009765625
3,jpeg_q75,dpir_oracle_blur,0.22998046875,0.037353515625,0.0
3,jpeg_q75,drunet_denoise_only,0.178955078125,0.0234375,0.0
3,jpeg_q75,gradient_nominal,0.1708984375,0.021240234375,0.0
3,jpeg_q75,observed,0.1845703125,0.024169921875,0.0
