excluded_source,model,operator_info,selected_lambda,tuning_sources,tuning_mean_mse,grid_boundary
0801,gradient,nominal,0.05,0802;0803;0804,0.001096852709716056,False
0801,gradient,oracle_blur,0.05,0802;0803;0804,0.0008949993064570356,False
0801,ridge,nominal,0.05,0802;0803;0804,0.0017874189810522414,False
0801,ridge,oracle_blur,0.01,0802;0803;0804,0.00128272457431461,False
0802,gradient,nominal,0.05,0801;0803;0804,0.001050168988098489,False
0802,gradient,oracle_blur,0.05,0801;0803;0804,0.0008427787295578511,False
0802,ridge,nominal,0.05,0801;0803;0804,0.0018761833361645034,False
0802,ridge,oracle_blur,0.01,0801;0803;0804,0.001245634629100364,False
0803,gradient,nominal,0.05,0801;0802;0804,0.0010359868207383152,False
0803,gradient,oracle_blur,0.05,0801;0802;0804,0.0008567600164459991,False
0803,ridge,nominal,0.05,0801;0802;0804,0.0017952494411591273,False
0803,ridge,oracle_blur,0.01,0801;0802;0804,0.0012462444766916895,False
0804,gradient,nominal,0.05,0801;0802;0803,0.0006215567014126048,False
0804,gradient,oracle_blur,0.05,0801;0802;0803,0.00047794702130273117,False
0804,ridge,nominal,0.05,0801;0802;0803,0.0013673041652245308,False
0804,ridge,oracle_blur,0.01,0801;0802;0803,0.000956670632282971,False
