score,calibration_sources,calibration_patch_rows,mapping_knots,source_macro_brier_in_sample,equal_mass_ece_10bin_in_sample,calibration_in_the_large_in_sample
dpir_nominal__score__operator_spread_detail,32,229376,186,0.1461075466611195,0.020887380626804893,-8.740621074143643e-15
dpir_nominal__score__operator_spread_rgb,32,229376,196,0.1444349404505496,0.022421806057822534,-3.292071476534987e-15
dpir_nominal__score__image_transform_spread_detail,32,229376,158,0.15060141399317267,0.012335497879969326,-5.001641462110131e-15
dpir_nominal__score__original_measurement_residual,32,229376,164,0.16106843906222756,0.024625346187855265,-8.147887746445818e-15
dpir_nominal__score__reconstruction_gradient,32,229376,256,0.1333644042868543,0.002343711107504022,-9.866239769618093e-18
fbcnn_dpir_nominal__score__operator_spread_detail,32,229376,242,0.13965343531494828,0.0037830359951631087,-2.1684043449710096e-18
fbcnn_dpir_nominal__score__operator_spread_rgb,32,229376,218,0.13054960129253826,0.0036225473648639167,2.710505431213762e-17
fbcnn_dpir_nominal__score__image_transform_spread_detail,32,229376,186,0.14618868385421707,0.01888115583773585,-5.0561768313861515e-15
fbcnn_dpir_nominal__score__original_measurement_residual,32,229376,192,0.1575240566893793,0.008508066509753198,4.098284211995208e-17
fbcnn_dpir_nominal__score__reconstruction_gradient,32,229376,254,0.1310711554753299,0.0026421849381490546,-1.6805133673525325e-18
fbcnn_dpir_nominal__trained_image_only_patcherrornet_ensemble,32,229376,242,0.12759732310223598,0.001882965716538307,-4.315124646492309e-17
