observation_id,source_id,chain_id,partition,compact_byte_count,compact_sha256,shard_index
0805_j50_b16_n2,0805,j50_b16_n2,fit,3974613,49ddcc9ae2104078732bd945c491314889cf65262f0a0dac74a4f5845552ce91,0
0805_j75_b12_n2,0805,j75_b12_n2,fit,4135785,5a169f7763149723e70653e822f6af8bf2b22cfae17f7449f73fec5836520691,0
0805_j75_b16_n2,0805,j75_b16_n2,fit,4087244,eba3818e8fe580134f2059d65d126f20bb87745267097192ae5956af549d74fe,0
0805_j75_b16_n5,0805,j75_b16_n5,fit,4189015,dc5ea3bd393850757e93d709ed90c12c6d22343d4efc2e165183f3ea8fecf17a,0
0805_j75_b20_n2,0805,j75_b20_n2,fit,4039154,aaa5051c573d25c082688b2c394beb28c54e84f71b0a291dd4c08478adad11e3,0
0805_j90_b16_n2,0805,j90_b16_n2,fit,4140189,d1ce20e9de79b370b2ce25d25b552513e57c2bf151616adada055c8a72071e31,0
0805_q8_b16_n2,0805,q8_b16_n2,fit,4270358,01a5326a85b0a0b947eb3be7e8218378c3cc21e3980474bafaf7bdf31da1a0ce,0
0806_j50_b16_n2,0806,j50_b16_n2,fit,3934268,ee2db4c7cb28b2c53b32b6cfae16f95b53f1d756e5b8019dd6e8669a45bcc5c5,0
0806_j75_b12_n2,0806,j75_b12_n2,fit,4026962,2f876178418b069098059d0a0c8f82728b1e59fe4037e8436bb0ca12b33a8ac8,0
0806_j75_b16_n2,0806,j75_b16_n2,fit,4009976,4dc86d103efa9213121634037b9016b13158546a2ce615913b062138bcdc21fc,0
0806_j75_b16_n5,0806,j75_b16_n5,fit,4238254,4c9d6e1485d74c8d213b15bb158f80cb03529360250fdc09dfca31e3e44782e3,0
0806_j75_b20_n2,0806,j75_b20_n2,fit,3986957,1e92b630d23f6bcb67ae0896f6827339090d58b499a8561a4af60b8c52da3e72,0
0806_j90_b16_n2,0806,j90_b16_n2,fit,4115196,65d764449d9676367a3af76cd7a08fcf5df6989e27c5d26840fb805a353689d3,0
0806_q8_b16_n2,0806,q8_b16_n2,fit,4332919,e068e00433674ce297b378dff91a68482446fba0b1f048674b7886b84c1d4bc8,0
0807_j50_b16_n2,0807,j50_b16_n2,fit,4090414,5f04366fc818f0f40f21a3c924eb1210aecec8c2763b1cd3e0f20d578d683b18,0
0807_j75_b12_n2,0807,j75_b12_n2,fit,4229879,951c61ecb09b127ca6e1f8b11251883e7044885c5ddbfedb7514cc2f2e1d3e4d,0
0807_j75_b16_n2,0807,j75_b16_n2,fit,4182986,8979052fc4b730f1e7d335c2af8a0e973ada2ff0af9a048e5f9a0b88378ed83f,0
0807_j75_b16_n5,0807,j75_b16_n5,fit,4343539,9d3532fe0706c6deb56ef47ab7c1e627bb8312bebe1d0ff81d0fc4667162bde6,0
0807_j75_b20_n2,0807,j75_b20_n2,fit,4140811,a0f5b307e37b859f37319b0f77e4489c95366ad6b94e8cfe09784deccc17b303,0
0807_j90_b16_n2,0807,j90_b16_n2,fit,4266339,7169cb05545f92ad8733f1e5f746520e147e003d0bd9cf1c4b9e9b6141eab603,0
0807_q8_b16_n2,0807,q8_b16_n2,fit,4420771,331bb18d3d4d292bdabe4ad940c8ca8a6f35ba5fc9171b9f8e03f568b3b8cc3a,0
0808_j50_b16_n2,0808,j50_b16_n2,fit,4193129,6e195bba90dae6e5c4140f95ca242b8aa4f29596fd39434c8a33b4a8cd01de16,0
0808_j75_b12_n2,0808,j75_b12_n2,fit,4295985,916161324332fda3e11a5fb9a4408b0045befb862bbe78625633d6472c6c9e64,0
0808_j75_b16_n2,0808,j75_b16_n2,fit,4255814,d61ce09d89f5d79b5121a2c21eb4deb4b010fee8296c8a3ece147f4d0002dc70,0
0808_j75_b16_n5,0808,j75_b16_n5,fit,4361330,5bb22fafdf834902261253e723f8f489c0def25e2a9899781fff6b3fa73f53dc,0
0808_j75_b20_n2,0808,j75_b20_n2,fit,4219761,da6f72d0768ee734f82b1bce237dc7980e88116379430ae9022bbade05b532ad,0
0808_j90_b16_n2,0808,j90_b16_n2,fit,4305256,666186ea8055a14cebfb0f7c4ab1d064587a033b062fceace97426c469afb4f3,0
0808_q8_b16_n2,0808,q8_b16_n2,fit,4406919,916f71ec8759b979f92df1fd78542e7c87a62fa2624760dc48aa6f1e5a0e8004,0
0809_j50_b16_n2,0809,j50_b16_n2,fit,4093780,44a19776caa61428b8e44743c6eb571453ac55e7d5a5e99f24ba67b09a71fdba,0
0809_j75_b12_n2,0809,j75_b12_n2,fit,4228788,8330fefd54093a64646feedf656b8c76b817c0ec2d93f39cbdad77c70e44b957,0
