member_index,member_seed,epoch,fit_weighted_bce,early_stop_source_macro_brier,best_so_far
3,2026092104,1,1.0972165541012087,0.16817781165064802,True
3,2026092104,2,0.8644761981463039,0.3347897651117473,False
3,2026092104,3,0.8086095293267415,0.21307464724495298,False
3,2026092104,4,0.7834585351398685,0.3400879143072026,False
3,2026092104,5,0.710094711379977,0.3591931597107933,False
3,2026092104,6,0.6824974869787284,0.0962019867576947,True
3,2026092104,7,0.6717730485271294,0.22338177783725163,False
3,2026092104,8,0.6273672043059307,0.11763476013826828,False
3,2026092104,9,0.6148518618262772,0.19984394495951985,False
3,2026092104,10,0.5639732252591505,0.13205208001558535,False
3,2026092104,11,0.5609311592294374,0.3434836122074298,False
