source_id,stage,method,comparator,delta_detail_mse,delta_mse,delta_psnr_db
0801,jpeg_q75,fbcnn_dpir,dpir_nominal,-0.00015823292130298216,-0.00016567785232559853,1.527571062510404
0801,jpeg_q75,fbcnn_dpir,gradient_nominal,-1.2475950640017164e-05,-4.0044166477262787e-05,0.4213596331226057
0801,jpeg_q75,fbcnn_dpir,fbcnn_gradient,-4.798513163948865e-06,-2.422732664083535e-05,0.25977884599571155
0801,jpeg_q75,fbcnn_gradient,gradient_nominal,-7.677437476068298e-06,-1.5816839836427438e-05,0.16158078712689417
0801,jpeg_q75,fbcnn,observed,-9.260509308991983e-06,-9.19615617915061e-06,0.07456963073150291
0801,quantized_8bit,fbcnn_dpir,dpir_nominal,1.8589780362268302e-06,1.3892412096389668e-05,-0.16990469198681524
0801,quantized_8bit,fbcnn_dpir,gradient_nominal,-1.622156279144728e-05,-4.107148975139249e-05,0.4666173573243455
0801,quantized_8bit,fbcnn_dpir,fbcnn_gradient,-7.270491239730537e-06,-2.8391598107872643e-05,0.3278348826268527
0801,quantized_8bit,fbcnn_gradient,gradient_nominal,-8.951071551716744e-06,-1.2679891643519847e-05,0.13878247469749283
0801,quantized_8bit,fbcnn,observed,-3.932927425161469e-05,-3.817250255620103e-05,0.3106340735926665
0802,jpeg_q75,fbcnn_dpir,dpir_nominal,-3.254841285560401e-05,-4.696362621747546e-05,0.3525914512769148
0802,jpeg_q75,fbcnn_dpir,gradient_nominal,-2.0128756970368448e-05,-6.398614311604672e-05,0.4736393273147925
0802,jpeg_q75,fbcnn_dpir,fbcnn_gradient,-4.356236426862744e-06,-1.9380917370525187e-05,0.14899182424063895
0802,jpeg_q75,fbcnn_gradient,gradient_nominal,-1.5772520543505704e-05,-4.460522574552153e-05,0.3246475030741536
0802,jpeg_q75,fbcnn,observed,-1.7229582326634864e-05,-3.2462304230390366e-05,0.20319930934172348
0802,quantized_8bit,fbcnn_dpir,dpir_nominal,4.930113173772757e-07,3.5889699053135685e-06,-0.032141447874707296
0802,quantized_8bit,fbcnn_dpir,gradient_nominal,-1.5414395665434524e-05,-4.248826733626156e-05,0.36346176912945793
0802,quantized_8bit,fbcnn_dpir,fbcnn_gradient,-6.978948855898787e-06,-2.4845402335282396e-05,0.21621215987183007
0802,quantized_8bit,fbcnn_gradient,gradient_nominal,-8.435446809535737e-06,-1.764286500097916e-05,0.14724960925762787
0802,quantized_8bit,fbcnn,observed,-3.96283075813625e-05,-4.838266328225662e-05,0.3203109334279155
0803,jpeg_q75,fbcnn_dpir,dpir_nominal,-0.00015756154541184415,-0.00019697834089791222,1.4005245435170082
0803,jpeg_q75,fbcnn_dpir,gradient_nominal,-3.283908478620665e-05,-0.00011215208879980477,0.8517332915400502
0803,jpeg_q75,fbcnn_dpir,fbcnn_gradient,-1.3882443889373094e-05,-5.656546239113391e-05,0.45041679928772993
0803,jpeg_q75,fbcnn_gradient,gradient_nominal,-1.8956640896833555e-05,-5.558662640867086e-05,0.40131649225232024
0803,jpeg_q75,fbcnn,observed,-2.0781052831933154e-05,-4.352931724952325e-05,0.2432026770019604
0803,quantized_8bit,fbcnn_dpir,dpir_nominal,4.706477969714553e-06,1.4704338576950263e-05,-0.13303407021726343
0803,quantized_8bit,fbcnn_dpir,gradient_nominal,-2.286908856496145e-05,-7.112688338873035e-05,0.591565033139112
0803,quantized_8bit,fbcnn_dpir,fbcnn_gradient,-1.58938958035639e-05,-5.88532349191953e-05,0.49506759672705414
0803,quantized_8bit,fbcnn_gradient,gradient_nominal,-6.975192761397549e-06,-1.227364846953505e-05,0.09649743641205788
0803,quantized_8bit,fbcnn,observed,-3.874642441312499e-05,-4.712865794365747e-05,0.2691397171713561
0804,jpeg_q75,fbcnn_dpir,dpir_nominal,-0.0003039457557446756,-0.0003219543573411742,0.7334338062927763
0804,jpeg_q75,fbcnn_dpir,gradient_nominal,-5.254514714989815e-05,-0.0001581566881218568,0.37576649357917447
0804,jpeg_q75,fbcnn_dpir,fbcnn_gradient,-3.918037694252655e-05,-0.00013666579854047138,0.32657508394304813
0804,jpeg_q75,fbcnn_gradient,gradient_nominal,-1.3364770207371598e-05,-2.149088958138543e-05,0.04919140963612634
0804,jpeg_q75,fbcnn,observed,-1.7176228283185364e-05,-1.6365785363596595e-05,0.031583536616341945
0804,quantized_8bit,fbcnn_dpir,dpir_nominal,4.577229925524008e-06,2.582932082408106e-05,-0.0674432935530831
0804,quantized_8bit,fbcnn_dpir,gradient_nominal,-5.1280453160998754e-05,-0.0001467073985200525,0.3643873169209435
0804,quantized_8bit,fbcnn_dpir,fbcnn_gradient,-4.5686309958817154e-05,-0.00014738757429452872,0.366007482497686
0804,quantized_8bit,fbcnn_gradient,gradient_nominal,-5.5941432021816e-06,6.801757744762191e-07,-0.0016201655767424938
0804,quantized_8bit,fbcnn,observed,-3.7733373127519956e-05,-3.061341823743565e-05,0.060027546588425906
