stage,pipeline,region,score,coverage,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
jpeg_q75,dpir_nominal,all,image_gradient,0.5,0.0003325482419955089,0.00016434633655125925,0.04541015625,0.00439453125,0.0
jpeg_q75,dpir_nominal,all,image_gradient,0.75,0.0005484000159625682,0.0002730499454024685,0.10774739583333334,0.013020833333333334,0.0
jpeg_q75,dpir_nominal,all,image_gradient,0.9,0.000720220532824014,0.00035885766638714704,0.14913232104121477,0.022505422993492407,0.0
jpeg_q75,dpir_nominal,all,image_gradient,1.0,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,image_transform_spread_detail,0.5,0.0003123903259915009,0.0001416822979786884,0.0380859375,0.0009765625,0.0
jpeg_q75,dpir_nominal,all,image_transform_spread_detail,0.75,0.0005701526213227246,0.0002649410850049544,0.1025390625,0.01171875,0.0
jpeg_q75,dpir_nominal,all,image_transform_spread_detail,0.9,0.000753316857173299,0.0003548987564991366,0.14642082429501085,0.023590021691973967,0.00027114967462039046
jpeg_q75,dpir_nominal,all,image_transform_spread_detail,1.0,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,measurement_residual,0.5,0.000402625989717623,0.00020390291431173193,0.06884765625,0.00830078125,0.0
jpeg_q75,dpir_nominal,all,measurement_residual,0.75,0.0006571183102734525,0.0003438492623748986,0.12890625,0.0244140625,0.0
jpeg_q75,dpir_nominal,all,measurement_residual,0.9,0.0008317335260508312,0.00043343035878150033,0.16838394793926248,0.03497830802603037,0.0005422993492407809
jpeg_q75,dpir_nominal,all,measurement_residual,1.0,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,operator_spread_detail,0.5,0.00029393782063072416,0.00013244758596218893,0.03564453125,0.00146484375,0.0
jpeg_q75,dpir_nominal,all,operator_spread_detail,0.75,0.0005340814976416406,0.0002455801196024762,0.09440104166666667,0.008138020833333334,0.0
jpeg_q75,dpir_nominal,all,operator_spread_detail,0.9,0.0007148279205112704,0.0003302202252906971,0.13964208242950107,0.01816702819956616,0.0
jpeg_q75,dpir_nominal,all,operator_spread_detail,1.0,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,operator_spread_rgb,0.5,0.000280290317959146,0.00012836388809720503,0.0302734375,0.00146484375,0.0
jpeg_q75,dpir_nominal,all,operator_spread_rgb,0.75,0.0005064383899400829,0.00023483854262155334,0.09016927083333334,0.006184895833333333,0.0
jpeg_q75,dpir_nominal,all,operator_spread_rgb,0.9,0.0006942645586595974,0.0003250054452997856,0.13503253796095444,0.01762472885032538,0.0
jpeg_q75,dpir_nominal,all,operator_spread_rgb,1.0,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,oracle_detail_error,0.5,0.00023325984361236682,9.730946149197755e-05,0.00439453125,0.0,0.0
jpeg_q75,dpir_nominal,all,oracle_detail_error,0.75,0.0004403007558004094,0.00019429893300325528,0.08626302083333333,0.0,0.0
jpeg_q75,dpir_nominal,all,oracle_detail_error,0.9,0.0006550826624471668,0.000302422316379043,0.11523861171366594,0.010845986984815618,0.0
jpeg_q75,dpir_nominal,all,oracle_detail_error,1.0,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,random_expected,0.5,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,random_expected,0.75,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,random_expected,0.9,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,all,random_expected,1.0,0.000986872098879169,0.0005126494802823363,0.200927734375,0.046875,0.0009765625
jpeg_q75,dpir_nominal,textured_quartile,image_gradient,0.5,0.0018334154545468682,0.0009075917358097372,0.388671875,0.087890625,0.0
jpeg_q75,dpir_nominal,textured_quartile,image_gradient,0.75,0.002013832633167941,0.0010260553634797282,0.4322916666666667,0.109375,0.0
jpeg_q75,dpir_nominal,textured_quartile,image_gradient,0.9,0.002229476297038481,0.0011419553778371787,0.47294372294372294,0.13095238095238096,0.0
jpeg_q75,dpir_nominal,textured_quartile,image_gradient,1.0,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,image_transform_spread_detail,0.5,0.001715163123140115,0.0008008142317632227,0.337890625,0.068359375,0.0
jpeg_q75,dpir_nominal,textured_quartile,image_transform_spread_detail,0.75,0.001988769090129172,0.0009337938271016566,0.4140625,0.09375,0.0
jpeg_q75,dpir_nominal,textured_quartile,image_transform_spread_detail,0.9,0.0022083699887122405,0.0010859504278327107,0.4653679653679654,0.1222943722943723,0.0
jpeg_q75,dpir_nominal,textured_quartile,image_transform_spread_detail,1.0,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,measurement_residual,0.5,0.0022525035067061695,0.0012050086519750421,0.4609375,0.14453125,0.0
