region,score,coverage,available_patches,retained_patches,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1,source_id,true_sigma,noise_std,scenario
all,operator_spread_detail,0.5,1024,512,7.684882710533274e-05,3.0278146182112158e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,0.75,1024,768,0.0001219455974367758,4.8024253695374177e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,0.9,1024,922,0.00019347771648271794,7.489139702438356e-05,0.0010845986984815619,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,1.0,1024,1024,0.0003482604152102179,0.00013528801328307696,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.5,1024,512,8.319118631306865e-05,3.503462200298083e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.75,1024,768,0.0001326045241577192,5.435617109571512e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.9,1024,922,0.00020234324020901778,8.066421416024672e-05,0.005422993492407809,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,1.0,1024,1024,0.00034826041521021796,0.00013528801328307696,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.5,1024,512,8.693449668527848e-05,3.834942524356193e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.75,1024,768,0.0001364509459211095,5.8617709655240745e-05,0.0013020833333333333,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.9,1024,922,0.0002012864752008649,8.079223590322281e-05,0.004338394793926247,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,1.0,1024,1024,0.00034826041521021796,0.000135288013283077,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,measurement_residual,0.5,1024,512,0.0004054688564976242,0.0001542680733489012,0.056640625,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,measurement_residual,0.75,1024,768,0.0003732015244457031,0.00014387029519862319,0.0546875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,measurement_residual,0.9,1024,922,0.00036124906959833215,0.00014007599631498345,0.052060737527114966,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,measurement_residual,1.0,1024,1024,0.00034826041521021796,0.00013528801328307696,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_gradient,0.5,1024,512,0.00011634449424659544,5.573893663363436e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_gradient,0.75,1024,768,0.0001510967560089339,6.497288712865535e-05,0.0026041666666666665,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_gradient,0.9,1024,922,0.0002064711654410338,8.273534507791917e-05,0.006507592190889371,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_gradient,1.0,1024,1024,0.00034826041521021796,0.00013528801328307696,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,random_expected,0.5,1024,512,0.00034826041521021796,0.00013528801328307696,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
