scenario,region,coverage,best_included_control,operator_detail_mse,best_control_detail_mse,relative_reduction_pct,source_wins_over_own_best_control,sources,rgb_operator_detail_mse
blur_noise,all,0.5,image_transform_spread_detail,9.186103727955322e-05,0.00010228342855740794,10.189716384023061,4,4,0.00010145965008217286
blur_noise,all,0.75,image_transform_spread_detail,0.00016476104436745245,0.00017781937392662367,7.343592135556431,4,4,0.0001766617017481683
blur_noise,all,0.9,image_transform_spread_detail,0.00024053341227592032,0.00024802805193898666,3.021690330781601,4,4,0.00024769345667064667
blur_noise,all,1.0,image_transform_spread_detail,0.000337209654291925,0.000337209654291925,0.0,0,4,0.000337209654291925
blur_noise,textured_quartile,0.5,image_transform_spread_detail,0.000578836882298925,0.0006183901408749249,6.396165779751639,3,4,0.000627244530503925
blur_noise,textured_quartile,0.75,image_transform_spread_detail,0.000678130502435325,0.00069439564270205,2.342344805539631,3,4,0.0006917646597695501
blur_noise,textured_quartile,0.9,image_transform_spread_detail,0.000753696436180525,0.0007761596877105,2.8941533405627773,4,4,0.00077426135280485
blur_noise,textured_quartile,1.0,image_transform_spread_detail,0.000846308712291125,0.000846308712291125,0.0,0,4,0.000846308712291125
blur_noise_jpeg,all,0.5,image_transform_spread_detail,0.00013244758596216545,0.0001416822979786509,6.517901070377164,4,4,0.0001283638880971801
blur_noise_jpeg,all,0.75,image_transform_spread_detail,0.0002455801196024654,0.0002649410850049079,7.307649322144128,4,4,0.00023483854262151016
blur_noise_jpeg,all,0.9,image_transform_spread_detail,0.00033022022529065255,0.00035489875649910433,6.953682073133461,4,4,0.0003250054452997393
blur_noise_jpeg,all,1.0,image_transform_spread_detail,0.0005126494802823,0.0005126494802823,0.0,0,4,0.0005126494802823
blur_noise_jpeg,textured_quartile,0.5,image_transform_spread_detail,0.000779227090483075,0.000800814231763175,2.695649056157634,3,4,0.00075181471896055
blur_noise_jpeg,textured_quartile,0.75,image_transform_spread_detail,0.000861606922590975,0.00093379382710165,7.7304970771473025,4,4,0.000853484050046
blur_noise_jpeg,textured_quartile,0.9,image_transform_spread_detail,0.001001390986355225,0.0010859504278326751,7.786676013030613,4,4,0.001003606096821425
blur_noise_jpeg,textured_quartile,1.0,image_transform_spread_detail,0.001284744967161575,0.001284744967161575,0.0,0,4,0.001284744967161575
