region,score,coverage,available_patches,retained_patches,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1,source_id,true_sigma,noise_std,scenario
all,operator_spread_detail,0.5,1024,512,7.684879533311922e-05,3.0278145241071595e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,0.75,1024,768,0.00012194555538821407,4.802425277903173e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,0.9,1024,922,0.00019347765432409933,7.48913935951729e-05,0.0010845986984815619,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,1.0,1024,1024,0.00034826030355777264,0.00013528800903493665,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.5,1024,512,8.319115501459336e-05,3.503462113618653e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.75,1024,768,0.0001326044793435545,5.4356169541202745e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,0.9,1024,922,0.00020234317943499227,8.06642125661868e-05,0.005422993492407809,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,image_transform_spread_detail,1.0,1024,1024,0.0003482603035577726,0.00013528800903493665,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.5,1024,512,8.693446720344224e-05,3.834942314292975e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.75,1024,768,0.0001364508992070439,5.861770752487077e-05,0.0013020833333333333,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,0.9,1024,922,0.00020128641399372153,8.079223382688257e-05,0.004338394793926247,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_rgb,1.0,1024,1024,0.00034826030355777264,0.00013528800903493668,0.0498046875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,measurement_residual,0.5,1024,512,0.0004054687269986709,0.00015426806860766934,0.056640625,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,measurement_residual,0.75,1024,768,0.00037320140792751954,0.00014387028896268217,0.0546875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
