source_id,relative_path,role,device,image_size,keywords,expected_mb,download_shard
r000da54ft,r000da54ft.NEF,independent_test,Nikon D90,L (4288 x 2848),nature; outdoor,9.79,15
r001d260dt,r001d260dt.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.0,11
r002fc3e2t,r002fc3e2t.NEF,independent_test,Nikon D7000,L (4928 x 3264),outdoor; people,21.5,14
r00444b95t,r00444b95t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,19.8,13
r005f3e70t,r005f3e70t.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor,10.6,5
r00617aa1t,r00617aa1t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; outdoor,18.7,12
r00679daet,r00679daet.NEF,development_fit,Nikon D7000,L (4928 x 3264),objects; outdoor,18.3,16
r006b0e4bt,r006b0e4bt.NEF,development_early_stop,Nikon D90,L (4288 x 2848),Indoor,10.1,19
r006fcc20t,r006fcc20t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.8,12
r007f5116t,r007f5116t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,18.5,15
r00816405t,r00816405t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,20.9,9
r00869422t,r00869422t.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor,10.9,7
r00879054t,r00879054t.NEF,development_fit,Nikon D7000,L (4928 x 3264),outdoor,19.8,11
r008a2095t,r008a2095t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,23.4,3
r008ed083t,r008ed083t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.3,2
r00a940e1t,r00a940e1t.NEF,development_calibration,Nikon D90,L (4288 x 2848),landscape; outdoor,9.53,19
r00b3931bt,r00b3931bt.NEF,independent_test,Nikon D90,L (4288 x 2848),landscape; outdoor,11.1,12
r00b8d4a2t,r00b8d4a2t.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor,10.7,0
r00c0995ft,r00c0995ft.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor; buildings,10.7,19
r00c4a543t,r00c4a543t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),nature; outdoor,19.2,17
r00d161b7t,r00d161b7t.NEF,independent_test,Nikon D7000,L (4928 x 3264),Indoor; objects,19.7,6
r00de2590t,r00de2590t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.3,9
r01058910t,r01058910t.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor; objects,9.78,16
r0108c383t,r0108c383t.NEF,development_calibration,Nikon D90,L (4288 x 2848),Indoor; buildings,10.6,5
r010cb248t,r010cb248t.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor; people,11.3,3
r01170470t,r01170470t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; landscape; outdoor,19.6,9
r01291f20t,r01291f20t.NEF,independent_test,Nikon D7000,L (4928 x 3264),nature; outdoor,17.5,10
r01292fd8t,r01292fd8t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),buildings; outdoor,19.6,7
r012b0f30t,r012b0f30t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.2,4
r012d1dbet,r012d1dbet.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.5,19
r0141f0c9t,r0141f0c9t.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; people,19.8,11
r01474187t,r01474187t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,22.8,18
r0149a21ct,r0149a21ct.NEF,development_calibration,Nikon D7000,L (4928 x 3264),nature; outdoor,21.1,7
r0150031ft,r0150031ft.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor; people,11.2,3
r01511e3et,r01511e3et.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,18.4,9
r01559391t,r01559391t.NEF,development_fit,Nikon D7000,L (4928 x 3264),outdoor,19.1,18
r015b453ft,r015b453ft.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,22.9,0
r0176fbcat,r0176fbcat.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.4,13
r017904f0t,r017904f0t.NEF,development_fit,Nikon D7000,L (4928 x 3264),outdoor,19.0,13
r018ba134t,r018ba134t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.1,0
r018e74fet,r018e74fet.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.7,2
r0191aaf4t,r0191aaf4t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,18.4,17
r019eb1cbt,r019eb1cbt.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor; people,10.3,6
