"Study ID","Year","Authors","Title","Venue","Publication type","Evidence status","Primary source URL","Review notes"
"P014","2022","Horwitz & Hoshen","Conffusion: Confidence Intervals for Diffusion Models","arXiv","Preprint","Preprint abstract verified","https://arxiv.org/abs/2211.09795","UQ method candidate"
"P024","2024","Bai et al.","Blind Inversion Using Latent Diffusion Priors","arXiv/TIP later","Preprint/journal lineage","Abstract verified","https://arxiv.org/abs/2407.01027","Verify final TIP metadata during full-text stage"
"P033","2025","Shoushtari et al.","Unsupervised Detection of Distribution Shift in Inverse Problems Using Diffusion Models","arXiv","Preprint","Preprint abstract verified","https://arxiv.org/abs/2505.11482","OOD guardrail candidate"
"P034","2025","Kim et al.","Towards Distribution-Shift Uncertainty Estimation for Inverse Problems with Generative Priors","arXiv","Preprint","Preprint abstract verified","https://arxiv.org/abs/2510.10947","Failure-detection candidate"
"P036","2026","Yang & Yuan","InverseNet: Benchmarking Operator Mismatch and Calibration Across Compressive Imaging Modalities","arXiv","Preprint","Preprint abstract verified","https://arxiv.org/abs/2603.04538","Highest-priority benchmark competitor"
"P037","2026","Iagaru et al.","On Hallucinations in Inverse Problems: Fundamental Limits and Provable Assessment Methods","arXiv","Preprint","Preprint full abstract verified","https://arxiv.org/abs/2605.13146","Critical novelty threat and component"
"P038","2026","Hu et al.","PRISM: Probabilistic and Robust Inverse Solver with Measurement-Conditioned Diffusion Prior for Blind Inverse Problems","ICASSP","Conference","Full preprint verified","https://doi.org/10.1109/ICASSP55912.2026.11462668","Top adversary; authors Yuanyun Hu, Evan Bell, Guijin Wang and Yu Sun"
"P041","2025","Romero et al.","Uncertainty Quantification in HSI Reconstruction using Physics-Aware Diffusion Priors and Optics-Encoded Measurements","arXiv","Preprint","Full preprint verified","https://arxiv.org/abs/2511.18473","Critical UQ competitor; verify publication lineage"
"P042","2026","Katende","No-Harm Physics-Informed Inverse Learning with Residual-Calibrated Uncertainty","arXiv","Preprint","Full abstract verified","https://arxiv.org/abs/2606.07153","Critical abstention threat; preprint credibility and proofs require full review"
"P051","2026","Hu et al.","ADOBI: Adaptive Diffusion Bridge For Blind Inverse Problems with Application to MRI Reconstruction","IEEE TCI","Journal","Publisher/preprint verified","https://doi.org/10.1109/TCI.2026.3678407","Top adaptive blind-UQ competitor"
"P052","2026","Liu et al.","Resolving Blind Inverse Problems under Dynamic Range Compression via Structured Forward Operator Modeling","ICML","Conference","Preprint verified","https://arxiv.org/abs/2603.01890","CaMB-Diff; nonlinear-operator threat"
"P063","2024","Wen et al.","Task-Driven Uncertainty Quantification in Inverse Problems via Conformal Prediction","ECCV","Conference","Publisher/preprint verified","https://doi.org/10.1007/978-3-031-73027-6_11","Task-level reliability comparator"
"P064","2024","Lütjen et al.","Learning-Based Approaches for Reconstructions With Inexact Operators in nanoCT Applications","IEEE TCI","Journal","Publisher/preprint verified","https://doi.org/10.1109/TCI.2024.3380319","Closest inexact-operator plus image-UQ study"
"P065","2025","Ekmekci & Cetin","Conformalized Generative Bayesian Imaging: An Uncertainty Quantification Framework for Computational Imaging","IEEE TCI","Journal","Publisher/preprint verified","https://doi.org/10.1109/TCI.2025.3649389","Strongest calibrated image-UQ competitor"
"P067","2025","Ye et al.","QUTCC: Quantile Uncertainty Training and Conformal Calibration for Imaging Inverse Problems","arXiv","Preprint","Full preprint verified","https://arxiv.org/abs/2507.14760","Preprint reliability threat"
"P073","2024","Jiang et al.","AutoDIR: Automatic All-in-One Image Restoration with Latent Diffusion","ECCV","Conference","Publisher/preprint verified","https://doi.org/10.1007/978-3-031-73661-2_19","Closest automatic generative all-in-one baseline"
