"Study ID","Canonical title","Earlier version","Authoritative version for PRISMA","Status decision","Peer reviewed","Lineage action","Verification source","Audit note"
"P014","Conffusion: Confidence Intervals for Diffusion Models","arXiv:2211.09795","arXiv:2211.09795","Preprint only","No","Retain one preprint record","https://arxiv.org/abs/2211.09795","No later peer-reviewed version located in the verification search"
"P024","Blind Inversion Using Latent Diffusion Priors","arXiv:2407.01027","IEEE Transactions on Image Processing (2026)","Journal version verified","Yes","Represent study by journal version; link arXiv as earlier version","https://ieeexplore.ieee.org/document/11351303/","LatentDEM project and repository also identify the IEEE TIP version"
"P033","Unsupervised Detection of Distribution Shift in Inverse Problems Using Diffusion Models","arXiv:2505.11482","arXiv:2505.11482","Preprint only","No","Retain one preprint record","https://arxiv.org/abs/2505.11482","No later peer-reviewed version located in the verification search"
"P034","Towards Distribution-Shift Uncertainty Estimation for Inverse Problems with Generative Priors","arXiv:2510.10947","IEEE CAMSAP 2025 listing","Conference lineage located; publisher metadata pending","Pending","Retain one study record; do not count arXiv separately; verify final DOI before inclusion lock","https://arxiv.org/abs/2510.10947","Search located a CAMSAP 2025 conference listing, but final publisher metadata requires confirmation"
"P036","InverseNet: Benchmarking Operator Mismatch and Calibration Across Compressive Imaging Modalities","arXiv:2603.04538","arXiv:2603.04538","Preprint only","No","Retain one preprint record","https://arxiv.org/abs/2603.04538","Abstract states code will be released upon acceptance; no accepted venue located"
"P037","On Hallucinations in Inverse Problems: Fundamental Limits and Provable Assessment Methods","arXiv:2605.13146","arXiv:2605.13146","Preprint only","No","Retain one preprint record","https://arxiv.org/abs/2605.13146","No later peer-reviewed version located in the verification search"
"P038","PRISM: Probabilistic and Robust Inverse Solver with Measurement-Conditioned Diffusion Prior for Blind Inverse Problems","arXiv:2509.16106","IEEE ICASSP 2026","Conference version verified","Yes","Represent study by ICASSP version; link arXiv as earlier version","https://ieeexplore.ieee.org/document/11462668/","Official research-group page identifies ICASSP 2026 Oral"
"P041","Uncertainty Quantification in HSI Reconstruction using Physics-Aware Diffusion Priors and Optics-Encoded Measurements","arXiv:2511.18473","arXiv:2511.18473","Preprint only","No","Retain one preprint record","https://arxiv.org/abs/2511.18473","Institutional repository labels the work as a preprint"
"P042","No-Harm Physics-Informed Inverse Learning with Residual-Calibrated Uncertainty","arXiv:2606.07153","arXiv:2606.07153","Preprint only","No","Retain one preprint record","https://arxiv.org/abs/2606.07153","No later peer-reviewed version located in the verification search"
"P051","ADOBI: Adaptive Diffusion Bridge For Blind Inverse Problems with Application to MRI Reconstruction","arXiv:2411.16535","IEEE Transactions on Computational Imaging (2026)","Journal version verified","Yes","Represent study by journal version; link arXiv as earlier version","https://doi.org/10.1109/TCI.2026.3678407","Official project supplies volume-level journal citation and DOI"
"P052","Resolving Blind Inverse Problems under Dynamic Range Compression via Structured Forward Operator Modeling","arXiv:2603.01890","arXiv:2603.01890","Preprint verified; claimed ICML status unverified","No verified venue","Downgrade venue to preprint until an official proceedings page is located","https://arxiv.org/abs/2603.01890","Do not count as an ICML paper on present evidence"
"P063","Task-Driven Uncertainty Quantification in Inverse Problems via Conformal Prediction","arXiv:2405.18527","ECCV 2024, LNCS 15118","Conference version verified","Yes","Represent study by ECCV version; link arXiv as earlier version","https://doi.org/10.1007/978-3-031-73027-6_11","Springer proceedings version is canonical"
"P064","Learning-Based Approaches for Reconstructions With Inexact Operators in nanoCT Applications","arXiv:2307.10474","IEEE Transactions on Computational Imaging 10 (2024), 522-534","Journal version verified","Yes","Represent study by journal version; link arXiv as earlier version","https://doi.org/10.1109/TCI.2024.3380319","Institutional publication record and DOI agree"
"P065","Conformalized Generative Bayesian Imaging: An Uncertainty Quantification Framework for Computational Imaging","arXiv:2504.07696","IEEE Transactions on Computational Imaging (2025)","Journal version verified","Yes","Represent study by journal version; link arXiv as earlier version","https://doi.org/10.1109/TCI.2025.3649389","Author and IEEE records identify the journal version"
"P067","QUTCC: Quantile Uncertainty Training and Conformal Calibration for Imaging Inverse Problems","arXiv:2507.14760","arXiv:2507.14760 / OpenReview submission","Accepted venue not confirmed","No verified venue","Retain one preprint record until acceptance is verified","https://arxiv.org/abs/2507.14760","OpenReview presence alone is not treated as peer-reviewed acceptance"
"P073","AutoDIR: Automatic All-in-One Image Restoration with Latent Diffusion","arXiv:2310.10123","ECCV 2024","Conference version verified","Yes","Represent study by ECCV version; link arXiv as earlier version","https://doi.org/10.1007/978-3-031-73661-2_19","Springer proceedings version is canonical"
