scope,score_key,bin,weight_mass,mean_probability,observed_bad_detail_rate
all_chains,dpir_nominal__score__operator_spread_detail,0,3.999999999999998,0.0,0.0
all_chains,dpir_nominal__score__operator_spread_detail,1,3.999999999999999,7.380229702645483e-05,0.0
all_chains,dpir_nominal__score__operator_spread_detail,2,3.999999999999999,0.0005662487736149811,0.0
all_chains,dpir_nominal__score__operator_spread_detail,3,3.999999999999999,0.0008898014784790578,0.0
all_chains,dpir_nominal__score__operator_spread_detail,4,3.999999999999999,0.0010958885547905442,0.0
all_chains,dpir_nominal__score__operator_spread_detail,5,3.9999999999999982,0.0065941865265537174,0.0
all_chains,dpir_nominal__score__operator_spread_detail,6,4.0,0.04969172987957141,0.0
all_chains,dpir_nominal__score__operator_spread_detail,7,3.9999999999999987,0.26521541325460685,0.0
all_chains,dpir_nominal__score__operator_spread_detail,8,3.9999999999999987,0.31043890118598944,0.0
all_chains,dpir_nominal__score__operator_spread_detail,9,3.999999999999999,0.3435348943125323,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,0,3.9999999999999996,0.0,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,1,3.999999999999999,0.00011290009295298174,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,2,3.9999999999999996,0.0007793320234504056,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,3,3.9999999999999987,0.0013115888762505231,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,4,3.9999999999999996,0.0035636898013779385,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,5,3.999999999999999,0.009448761320722305,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,6,3.9999999999999987,0.045410697915160995,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,7,3.9999999999999982,0.1898155254714637,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,8,3.999999999999998,0.3231225893770379,0.0
all_chains,dpir_nominal__score__operator_spread_rgb,9,3.9999999999999982,0.3503927445666966,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,0,3.999999999999999,0.0,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,1,3.999999999999999,0.0006969627007943505,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,2,4.0,0.0018076933115358843,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,3,3.999999999999998,0.0026410113298506355,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,4,3.9999999999999987,0.005843736343471003,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,5,3.9999999999999996,0.02701358434108313,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,6,3.9999999999999987,0.12853625134929259,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,7,3.9999999999999987,0.3021366468414533,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,8,3.9999999999999982,0.30288505554199224,0.0
all_chains,dpir_nominal__score__image_transform_spread_detail,9,3.9999999999999987,0.3536288311287145,0.0
all_chains,dpir_nominal__score__original_measurement_residual,0,3.9999999999999996,0.005097629882608803,0.0
all_chains,dpir_nominal__score__original_measurement_residual,1,3.999999999999999,0.029161263628014113,0.0
all_chains,dpir_nominal__score__original_measurement_residual,2,3.999999999999999,0.07061144193825646,0.0
all_chains,dpir_nominal__score__original_measurement_residual,3,3.999999999999999,0.10891468003813191,0.0
all_chains,dpir_nominal__score__original_measurement_residual,4,3.999999999999999,0.1546832428206731,0.0
all_chains,dpir_nominal__score__original_measurement_residual,5,3.9999999999999982,0.1939044307910081,0.0
all_chains,dpir_nominal__score__original_measurement_residual,6,3.9999999999999987,0.23447557666752677,0.0
