scope,score_key,metric,estimate,bootstrap_ci_low,bootstrap_ci_high,sources,patches
all_chains,dpir_nominal__score__operator_spread_detail,source_macro_brier,0.029634928487016043,0.0260166941203801,0.033821175034447315,40,286720
all_chains,dpir_nominal__score__operator_spread_detail,equal_mass_ece_10bin,0.09781008662631645,0.08659844865405719,0.11050894336813968,40,286720
all_chains,dpir_nominal__score__operator_spread_detail,calibration_in_the_large,-0.09781008662631646,-0.11050894336813968,-0.0865984486540572,40,286720
all_chains,dpir_nominal__score__operator_spread_detail,calibration_slope,-4.713082666312935e-17,-5.685131888033102e-16,4.907504151193555e-16,40,286720
q8_b16_n2,dpir_nominal__score__operator_spread_detail,source_macro_brier,0.00014656401498708348,,,40,40960
q8_b16_n2,dpir_nominal__score__operator_spread_detail,equal_mass_ece_10bin,0.0028802196829971647,,,40,40960
q8_b16_n2,dpir_nominal__score__operator_spread_detail,calibration_in_the_large,-0.0028802196829971647,,,40,40960
j90_b16_n2,dpir_nominal__score__operator_spread_detail,source_macro_brier,0.0011441561731777847,,,40,40960
j90_b16_n2,dpir_nominal__score__operator_spread_detail,equal_mass_ece_10bin,0.00897755486862266,,,40,40960
j90_b16_n2,dpir_nominal__score__operator_spread_detail,calibration_in_the_large,-0.008977554868622662,,,40,40960
j75_b16_n2,dpir_nominal__score__operator_spread_detail,source_macro_brier,0.018115435823725472,,,40,40960
j75_b16_n2,dpir_nominal__score__operator_spread_detail,equal_mass_ece_10bin,0.06719005288128771,,,40,40960
j75_b16_n2,dpir_nominal__score__operator_spread_detail,calibration_in_the_large,-0.0671900528812877,,,40,40960
j50_b16_n2,dpir_nominal__score__operator_spread_detail,source_macro_brier,0.04838686833586076,,,40,40960
j50_b16_n2,dpir_nominal__score__operator_spread_detail,equal_mass_ece_10bin,0.14987000936668304,,,40,40960
j50_b16_n2,dpir_nominal__score__operator_spread_detail,calibration_in_the_large,-0.14987000936668302,,,40,40960
j75_b12_n2,dpir_nominal__score__operator_spread_detail,source_macro_brier,0.024595571179980052,,,40,40960
j75_b12_n2,dpir_nominal__score__operator_spread_detail,equal_mass_ece_10bin,0.088640025285288,,,40,40960
j75_b12_n2,dpir_nominal__score__operator_spread_detail,calibration_in_the_large,-0.088640025285288,,,40,40960
j75_b20_n2,dpir_nominal__score__operator_spread_detail,source_macro_brier,0.01447996693001798,,,40,40960
j75_b20_n2,dpir_nominal__score__operator_spread_detail,equal_mass_ece_10bin,0.0540884348274826,,,40,40960
j75_b20_n2,dpir_nominal__score__operator_spread_detail,calibration_in_the_large,-0.0540884348274826,,,40,40960
j75_b16_n5,dpir_nominal__score__operator_spread_detail,source_macro_brier,0.10057593695136317,,,40,40960
j75_b16_n5,dpir_nominal__score__operator_spread_detail,equal_mass_ece_10bin,0.31302430947185406,,,40,40960
j75_b16_n5,dpir_nominal__score__operator_spread_detail,calibration_in_the_large,-0.31302430947185406,,,40,40960
all_chains,dpir_nominal__score__operator_spread_rgb,source_macro_brier,0.02747201436300097,0.024042099887565723,0.03152865966239106,40,286720
all_chains,dpir_nominal__score__operator_spread_rgb,equal_mass_ece_10bin,0.0923957829445113,0.08134095335005848,0.10509586091531783,40,286720
all_chains,dpir_nominal__score__operator_spread_rgb,calibration_in_the_large,-0.0923957829445113,-0.10509586091531785,-0.08134095335005849,40,286720
all_chains,dpir_nominal__score__operator_spread_rgb,calibration_slope,-1.8243737827578602e-16,-6.269389297950042e-16,4.611947618176243e-16,40,286720
q8_b16_n2,dpir_nominal__score__operator_spread_rgb,source_macro_brier,0.0018172886640308826,,,40,40960
q8_b16_n2,dpir_nominal__score__operator_spread_rgb,equal_mass_ece_10bin,0.0143021830085047,,,40,40960
q8_b16_n2,dpir_nominal__score__operator_spread_rgb,calibration_in_the_large,-0.014302183008504698,,,40,40960
j90_b16_n2,dpir_nominal__score__operator_spread_rgb,source_macro_brier,0.002497957060409301,,,40,40960
j90_b16_n2,dpir_nominal__score__operator_spread_rgb,equal_mass_ece_10bin,0.018080999249815835,,,40,40960
j90_b16_n2,dpir_nominal__score__operator_spread_rgb,calibration_in_the_large,-0.01808099924981583,,,40,40960
j75_b16_n2,dpir_nominal__score__operator_spread_rgb,source_macro_brier,0.014017787982131807,,,40,40960
j75_b16_n2,dpir_nominal__score__operator_spread_rgb,equal_mass_ece_10bin,0.05589253123644866,,,40,40960
j75_b16_n2,dpir_nominal__score__operator_spread_rgb,calibration_in_the_large,-0.05589253123644866,,,40,40960
j50_b16_n2,dpir_nominal__score__operator_spread_rgb,source_macro_brier,0.04051991346140782,,,40,40960
j50_b16_n2,dpir_nominal__score__operator_spread_rgb,equal_mass_ece_10bin,0.12588247479858267,,,40,40960
j50_b16_n2,dpir_nominal__score__operator_spread_rgb,calibration_in_the_large,-0.12588247479858267,,,40,40960
j75_b12_n2,dpir_nominal__score__operator_spread_rgb,source_macro_brier,0.020305830573638453,,,40,40960
j75_b12_n2,dpir_nominal__score__operator_spread_rgb,equal_mass_ece_10bin,0.07656834331167488,,,40,40960
j75_b12_n2,dpir_nominal__score__operator_spread_rgb,calibration_in_the_large,-0.07656834331167488,,,40,40960
j75_b20_n2,dpir_nominal__score__operator_spread_rgb,source_macro_brier,0.010389120777268834,,,40,40960
j75_b20_n2,dpir_nominal__score__operator_spread_rgb,equal_mass_ece_10bin,0.042454729237426034,,,40,40960
j75_b20_n2,dpir_nominal__score__operator_spread_rgb,calibration_in_the_large,-0.042454729237426034,,,40,40960
