source_id,h1_dpir_detail_mse,h1_fbcnn_dpir_detail_mse,h1_difference,h2_image_transform_detail_risk,h2_operator_spread_detail_risk,h2_difference
img_2400x2400_3x8bit_C00C00_RGB_almonds,2.581929034283337e-05,1.0861069862362064e-05,-1.4958220480471308e-05,7.2618180621678e-06,7.01977247456656e-06,-2.4204558760123993e-07
img_2400x2400_3x8bit_C00C00_RGB_apples,4.9359204618071166e-06,2.9802198192873715e-06,-1.955700642519745e-06,1.9247441553235384e-06,1.925879804147952e-06,1.1356488244137907e-09
img_2400x2400_3x8bit_C00C00_RGB_baloons,7.325737562137516e-05,3.300265337572638e-06,-6.995711028380252e-05,1.5468274146781364e-06,1.5428742580995485e-06,-3.95315657858787e-09
img_2400x2400_3x8bit_C00C00_RGB_bananas,8.671055282260548e-05,3.289448371811609e-06,-8.342110445079388e-05,1.6861627514583066e-06,1.6677346191176834e-06,-1.842813234062317e-08
img_2400x2400_3x8bit_C00C00_RGB_billiard_balls_a,2.150899202240278e-05,2.2399401996528915e-06,-1.926905182274989e-05,1.1215657325931854e-06,1.074091142815673e-06,-4.7474589777512306e-08
img_2400x2400_3x8bit_C00C00_RGB_billiard_balls_b,0.0001243922584342,3.430010481291112e-06,-0.0001209622479529089,1.0142562761734245e-06,1.010947572516163e-06,-3.3087036572615166e-09
img_2400x2400_3x8bit_C00C00_RGB_building,0.0003034098320536,4.45856151216047e-06,-0.0002989512705414395,1.1031325941685498e-06,1.1028413248492088e-06,-2.91269319340959e-10
img_2400x2400_3x8bit_C00C00_RGB_cards_a,0.0006238586273941,2.9304912922851477e-05,-0.0005945537144712486,3.62225509554249e-06,3.53286383335117e-06,-8.939126219131997e-08
img_2400x2400_3x8bit_C00C00_RGB_cards_b,0.0001650123576466,4.143671093240057e-05,-0.00012357564671419943,1.6956265975277114e-06,1.7025537221718169e-06,6.927124644105472e-09
img_2400x2400_3x8bit_C00C00_RGB_carrots,8.880319167837217e-05,1.1852337354507849e-05,-7.695085432386432e-05,7.80290246450925e-06,7.661731998702075e-06,-1.4117046580717447e-07
img_2400x2400_3x8bit_C00C00_RGB_chairs,9.33351400864886e-06,1.437211694548364e-06,-7.896302314100496e-06,1.0459931818536152e-06,1.07410774505418e-06,2.8114563200564895e-08
img_2400x2400_3x8bit_C00C00_RGB_clips,0.0001643224599605,1.246706894324665e-05,-0.00015185539101725335,7.591028511478959e-06,7.1089418541932855e-06,-4.820866572856731e-07
img_2400x2400_3x8bit_C00C00_RGB_coins,7.796413002550073e-05,2.2117016710616847e-05,-5.584711331488388e-05,4.772593666275847e-06,4.715865308194862e-06,-5.672835808098522e-08
img_2400x2400_3x8bit_C00C00_RGB_cushions,4.469067649201031e-05,2.1159775425305897e-05,-2.3530901066704415e-05,1.5087558448778224e-05,1.091465987375997e-05,-4.172898575018255e-06
img_2400x2400_3x8bit_C00C00_RGB_ducks,6.011170420220463e-05,3.984887125079688e-06,-5.612681707712494e-05,1.8851831441746737e-06,1.8431536971550192e-06,-4.202944701965452e-08
img_2400x2400_3x8bit_C00C00_RGB_fence,0.0003177597130986,3.185368156485295e-06,-0.0003145743449421147,1.35087428032035e-06,1.347400590768203e-06,-3.4736895521469023e-09
img_2400x2400_3x8bit_C00C00_RGB_flowers,0.0001418900858024,5.347483301744812e-06,-0.00013654260250065518,2.173853539241881e-06,2.1422882842045297e-06,-3.15652550373513e-08
img_2400x2400_3x8bit_C00C00_RGB_garden_table,6.625810230704375e-05,4.8082995973795466e-05,-1.8175106333248286e-05,1.780548114133803e-05,1.7852580753589036e-05,4.709961225100531e-08
img_2400x2400_3x8bit_C00C00_RGB_guitar_bridge,8.570932617310396e-05,1.3570124535739142e-05,-7.213920163736483e-05,5.361594195905285e-06,5.313308153448324e-06,-4.828604245696073e-08
img_2400x2400_3x8bit_C00C00_RGB_guitar_fret,0.0004419749761061,9.14424039114934e-06,-0.00043283073571495065,3.530144371396981e-06,3.4714016877337103e-06,-5.874268366327074e-08
img_2400x2400_3x8bit_C00C00_RGB_guitar_head,0.0001080915564014,1.7437105219491715e-05,-9.065445118190828e-05,3.663121544523781e-06,3.604802492492806e-06,-5.831905203097516e-08
img_2400x2400_3x8bit_C00C00_RGB_keyboard_a,0.0001605889238927,1.5065774235242206e-05,-0.0001455231496574578,2.010181924766773e-06,1.9874773687869555e-06,-2.2704555979817555e-08
img_2400x2400_3x8bit_C00C00_RGB_keyboard_b,0.0002725679277375,1.2134161270643098e-05,-0.00026043376646685685,7.107813960317429e-06,6.495179823697819e-06,-6.126341366196097e-07
img_2400x2400_3x8bit_C00C00_RGB_lion,0.0001048907351805,1.0410941286970842e-05,-9.447979389352915e-05,4.328820234105226e-06,4.124614077734515e-06,-2.0420615637071115e-07
img_2400x2400_3x8bit_C00C00_RGB_multimeter,0.0001743440036383,1.561772757654576e-05,-0.00015872627606175422,1.2016391852506113e-05,1.1872084798449623e-05,-1.4430705405648948e-07
img_2400x2400_3x8bit_C00C00_RGB_pencils_a,0.0001230880354217,6.050128557015303e-06,-0.0001170379068646847,2.315459798476206e-06,2.265418677967628e-06,-5.004112050857809e-08
img_2400x2400_3x8bit_C00C00_RGB_pencils_b,6.42090096835616e-05,6.127570437887359e-06,-5.8081439245674245e-05,2.102364360754131e-06,2.0160806813663284e-06,-8.628367938780271e-08
img_2400x2400_3x8bit_C00C00_RGB_pillar,8.762725986426922e-06,3.2798887341838804e-06,-5.482837252243041e-06,1.444110180620969e-06,1.4552359326968002e-06,1.1125752075831277e-08
img_2400x2400_3x8bit_C00C00_RGB_plastic,2.2008929209941e-05,1.4434329199358345e-05,-7.5746000105826554e-06,1.068223145073957e-05,1.07157058226414e-05,3.347437190183097e-08
img_2400x2400_3x8bit_C00C00_RGB_roof,0.0001526533258635,9.62705097855976e-06,-0.00014302627488494023,8.052340563798337e-06,8.094415790262904e-06,4.207522646456762e-08
img_2400x2400_3x8bit_C00C00_RGB_scarf,3.290132286673401e-05,1.6315405519921932e-05,-1.6585917346812077e-05,1.268191833837436e-05,1.2406277580171576e-05,-2.75640758202785e-07
img_2400x2400_3x8bit_C00C00_RGB_screws,0.0007026951725442,3.748644620956516e-05,-0.0006652087263346348,1.3591641800308918e-05,1.2273898505686753e-05,-1.3177432946221658e-06
img_2400x2400_3x8bit_C00C00_RGB_snails,1.237507260554239e-05,4.682877729057333e-06,-7.692194876485056e-06,1.5674521763067523e-06,1.575213083003106e-06,7.760906696353637e-09
img_2400x2400_3x8bit_C00C00_RGB_socks,6.378784677549941e-05,5.188260186679403e-05,-1.1905244908705385e-05,4.3271191015304187e-05,4.2621262503557984e-05,-6.499285117462022e-07
img_2400x2400_3x8bit_C00C00_RGB_sweets,1.307543542079393e-05,6.174725314584663e-06,-6.900710106209266e-06,3.168541524772102e-06,3.0387789737052717e-06,-1.2976255106683027e-07
img_2400x2400_3x8bit_C00C00_RGB_tomatoes_a,1.604895870320168e-05,4.061670971250556e-06,-1.1987287731951125e-05,2.5025647326761508e-06,2.488363009333963e-06,-1.4201723342187981e-08
img_2400x2400_3x8bit_C00C00_RGB_tomatoes_b,5.332687573687428e-06,2.8335846645662217e-06,-2.499102909121206e-06,1.619762071189575e-06,1.602724778918926e-06,-1.703729227064902e-08
img_2400x2400_3x8bit_C00C00_RGB_tools_a,0.000150575349673,9.793662021164363e-06,-0.00014078168765183563,4.60179818738813e-06,4.516654891667247e-06,-8.514329572088292e-08
img_2400x2400_3x8bit_C00C00_RGB_tools_b,3.698498682769397e-05,1.0549243426317938e-05,-2.6435743401376035e-05,4.31239643662868e-06,2.927422101412058e-06,-1.3849743352166224e-06
img_2400x2400_3x8bit_C00C00_RGB_wood_game,2.838036508873543e-05,3.729658116736486e-06,-2.4650706971998944e-05,2.165683628351093e-06,2.099883540184295e-06,-6.580008816679791e-08
