source_id,filename,member_path,file_byte_count,file_sha256,decoded_rgb_sha256,width,height,crop_left,crop_top,crop_extent,role
img_2400x2400_3x8bit_C00C00_RGB_almonds,img_2400x2400_3x8bit_C00C00_RGB_almonds.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,6261435,0e002cfa52d47f59107da7cc84ef5831b4c3c29989e7efe528900843acb09be3,a53db254937369ed3287c681e73047c5e935826c51b6345389fd98770cc819dc,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_apples,img_2400x2400_3x8bit_C00C00_RGB_apples.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_apples.png,3937943,6819debd681a1444ddadd6ad194862d51ae167a92a874d4f479c2dca9c2adacb,70f354acc816555782f8033364b02d5933c995ecbff8d32e40ade94bd70d154f,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_baloons,img_2400x2400_3x8bit_C00C00_RGB_baloons.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_baloons.png,4189235,d0c8520a2750d4d39def39f8cb45b18c52e4431d14e00810d0986e66f7051c90,3f3587eb9b8253a02dd5f6b44baad0e007485a24d2115bc0392faf5e710f4a35,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_bananas,img_2400x2400_3x8bit_C00C00_RGB_bananas.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_bananas.png,5342982,71e72a2d660a031a64d9d0eebaa0ad15e52569a423933879c83b461e10955a53,2834f7140c00476873f47166d437fb434df10b2d915b60b394e73ba5c6fa44a0,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_billiard_balls_a,img_2400x2400_3x8bit_C00C00_RGB_billiard_balls_a.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_billiard_balls_a.png,3409302,bfa325badfac7687926591287c70d7a260985fd4fea05546706c3b5f1c92e283,4d55f129d94016d23ab96d6782b1930cc978c3036f230bbe7e7a58069b894492,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_billiard_balls_b,img_2400x2400_3x8bit_C00C00_RGB_billiard_balls_b.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_billiard_balls_b.png,4073835,d5f1c756003c8e4e5dc0ff141fe09fe3d2a76353c4b0614e41734aa035f64140,5d114ff4df9b4cae15446aab8088fc4d5f63ee659e412fa6e130f3f4ff0b72fb,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_building,img_2400x2400_3x8bit_C00C00_RGB_building.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_building.png,3805646,48d284b2f247c3e4b474cd1b6062386a2e4274d6f54da5ab0e362f13976bb8c9,c69da29ccf656717a1fc698860090682db5d4377c01f75bfd731ccc86f2da3fe,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_cards_a,img_2400x2400_3x8bit_C00C00_RGB_cards_a.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_cards_a.png,6778407,22e21d47a8edf937c4826d15dabebfcbeb79b04f6761a94d2728d2f31e2d313e,c7e66ab409db8a060f006d8df25287f673bdc8a91526db25ae17f3ba871c981f,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_cards_b,img_2400x2400_3x8bit_C00C00_RGB_cards_b.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_cards_b.png,5424089,7d26c6597b2569b71f00630a86cc841ce7f08966166fdc9301f90b10da8dca8b,775430a8726b457c39327a2c8f4a800a033e359437ef6a2a318f1dd0642a8b47,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_carrots,img_2400x2400_3x8bit_C00C00_RGB_carrots.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_carrots.png,5387505,5a11b4b2f4d0b94ab55bc2efed08281a4445d4044b851f4a369e216638d2547b,e1521e0993e275eda319940e7f448621f604dd469a5cdd7f2654503afc62f005,2400,2400,912,912,576,sealed_independent_test
