source_id,stage,model,delta_mse_from_acquisition03,delta_detail_mse_from_acquisition03,delta_psnr_from_acquisition03
0801,quantized_8bit,observed,8.868773770931426e-17,7.743914016977715e-17,0.0
0801,quantized_8bit,gradient_nominal,8.348356728138384e-17,4.4208343583096443e-17,0.0
0801,quantized_8bit,dpir_nominal,-1.936639867569645e-11,-3.3675299148609034e-12,2.415465303329256e-07
0801,jpeg_q75,observed,6.537739100087592e-17,1.5395670849294163e-17,0.0
0801,jpeg_q75,gradient_nominal,8.993457020767259e-17,9.020562075079397e-17,0.0
0801,jpeg_q75,dpir_nominal,8.406112568179469e-11,8.823375520885038e-11,-6.534159027182795e-07
0802,quantized_8bit,observed,6.537739100087592e-17,6.852157730108388e-17,0.0
0802,quantized_8bit,gradient_nominal,3.968179951296946e-17,6.139294801699169e-17,0.0
0802,quantized_8bit,dpir_nominal,-2.351743550333546e-11,-3.656650421910226e-12,2.1139475592235613e-07
0802,jpeg_q75,observed,1.929879867024198e-17,7.882149793969617e-17,3.552713678800501e-15
0802,jpeg_q75,gradient_nominal,6.646159317336142e-17,9.324138683375338e-18,0.0
0802,jpeg_q75,dpir_nominal,5.094895208848649e-12,1.718964488979513e-11,-3.6739038478117436e-08
0803,quantized_8bit,observed,4.109126233720062e-17,4.3259666682171627e-17,0.0
0803,quantized_8bit,gradient_nominal,8.326672684688674e-17,1.3769367590565906e-17,0.0
0803,quantized_8bit,dpir_nominal,-4.668809734436827e-11,-6.982762214583979e-12,4.2893600493698614e-07
0803,jpeg_q75,observed,1.3010426069826053e-17,1.6994869053710282e-17,0.0
0803,jpeg_q75,gradient_nominal,7.686993402922226e-17,6.369687763352339e-17,0.0
0803,jpeg_q75,dpir_nominal,9.63741843490809e-11,1.1909400120810668e-10,-5.857154974364676e-07
0804,quantized_8bit,observed,6.461844948013606e-17,3.187554387107383e-17,0.0
0804,quantized_8bit,gradient_nominal,2.211772431870429e-17,2.1467203015212988e-17,0.0
0804,quantized_8bit,dpir_nominal,-6.310761136753273e-11,-1.612300126307281e-11,1.6606735542268325e-07
0804,jpeg_q75,observed,5.160802341031001e-17,7.892991815694472e-17,0.0
0804,jpeg_q75,gradient_nominal,5.2475385148298415e-17,6.635317295611287e-17,0.0
0804,jpeg_q75,dpir_nominal,2.304453698177833e-10,2.50888443700803e-10,-4.830351443274594e-07
