threshold_rmse,chain_id,patch_rows,positive_patches,patch_prevalence,sources_with_positive_event
0.015,j50_b16_n2,32768,22650,0.69122314453125,32
0.015,j75_b12_n2,32768,21096,0.643798828125,32
0.015,j75_b16_n2,32768,22533,0.687652587890625,32
0.015,j75_b16_n5,32768,23570,0.71929931640625,32
0.015,j75_b20_n2,32768,23139,0.706146240234375,32
0.015,j90_b16_n2,32768,22381,0.683013916015625,32
0.015,q8_b16_n2,32768,22356,0.6822509765625,32
0.02,j50_b16_n2,32768,19886,0.60687255859375,32
0.02,j75_b12_n2,32768,17602,0.53717041015625,32
0.02,j75_b16_n2,32768,19721,0.601837158203125,32
0.02,j75_b16_n5,32768,20406,0.62274169921875,32
0.02,j75_b20_n2,32768,20461,0.624420166015625,32
0.02,j90_b16_n2,32768,19599,0.598114013671875,32
0.02,q8_b16_n2,32768,19556,0.5968017578125,32
0.025,j50_b16_n2,32768,17229,0.525787353515625,32
0.025,j75_b12_n2,32768,14379,0.438812255859375,32
0.025,j75_b16_n2,32768,17041,0.520050048828125,32
0.025,j75_b16_n5,32768,17527,0.534881591796875,32
0.025,j75_b20_n2,32768,17911,0.546600341796875,32
0.025,j90_b16_n2,32768,16886,0.51531982421875,32
0.025,q8_b16_n2,32768,16830,0.51361083984375,32
0.03,j50_b16_n2,32768,14670,0.44769287109375,32
0.03,j75_b12_n2,32768,11689,0.356719970703125,32
0.03,j75_b16_n2,32768,14474,0.44171142578125,32
0.03,j75_b16_n5,32768,14873,0.453887939453125,32
0.03,j75_b20_n2,32768,15490,0.47271728515625,32
0.03,j90_b16_n2,32768,14318,0.43695068359375,32
0.03,q8_b16_n2,32768,14264,0.435302734375,32
0.04,j50_b16_n2,32768,10719,0.327117919921875,32
0.04,j75_b12_n2,32768,7959,0.242889404296875,31
0.04,j75_b16_n2,32768,10560,0.322265625,32
0.04,j75_b16_n5,32768,10709,0.326812744140625,32
0.04,j75_b20_n2,32768,11508,0.3511962890625,32
0.04,j90_b16_n2,32768,10463,0.319305419921875,32
0.04,q8_b16_n2,32768,10420,0.3179931640625,32
0.05,j50_b16_n2,32768,7644,0.2332763671875,31
0.05,j75_b12_n2,32768,4919,0.150115966796875,27
0.05,j75_b16_n2,32768,7503,0.228973388671875,31
0.05,j75_b16_n5,32768,7571,0.231048583984375,31
0.05,j75_b20_n2,32768,8411,0.256683349609375,32
0.05,j90_b16_n2,32768,7409,0.226104736328125,31
0.05,q8_b16_n2,32768,7367,0.224822998046875,31
0.075,j50_b16_n2,32768,2115,0.064544677734375,24
0.075,j75_b12_n2,32768,848,0.02587890625,20
0.075,j75_b16_n2,32768,2031,0.061981201171875,24
0.075,j75_b16_n5,32768,2039,0.062225341796875,24
0.075,j75_b20_n2,32768,2591,0.079071044921875,27
0.075,j90_b16_n2,32768,1978,0.06036376953125,24
0.075,q8_b16_n2,32768,1953,0.059600830078125,24
0.1,j50_b16_n2,32768,418,0.01275634765625,19
0.1,j75_b12_n2,32768,113,0.003448486328125,9
0.1,j75_b16_n2,32768,385,0.011749267578125,19
0.1,j75_b16_n5,32768,389,0.011871337890625,19
0.1,j75_b20_n2,32768,571,0.017425537109375,20
0.1,j90_b16_n2,32768,367,0.011199951171875,19
0.1,q8_b16_n2,32768,362,0.01104736328125,19
