threshold_rmse,source_id,patch_rows,positive_patches,prevalence
0.015,0869,7168,6779,0.9457310267857143
0.015,0870,7168,4646,0.6481584821428571
0.015,0871,7168,4363,0.6086774553571429
0.015,0872,7168,6415,0.8949497767857143
0.015,0873,7168,6705,0.9354073660714286
0.015,0874,7168,4530,0.6319754464285714
0.015,0875,7168,6779,0.9457310267857143
0.015,0876,7168,6929,0.9666573660714286
0.015,0877,7168,957,0.13351004464285715
0.015,0878,7168,3086,0.43052455357142855
0.015,0879,7168,5822,0.8122209821428571
0.015,0880,7168,6206,0.8657924107142857
0.015,0881,7168,6956,0.9704241071428571
0.015,0882,7168,5083,0.7091238839285714
0.015,0883,7168,6906,0.9634486607142857
0.015,0884,7168,6636,0.92578125
0.015,0885,7168,6980,0.9737723214285714
0.015,0886,7168,3034,0.4232700892857143
0.015,0887,7168,5730,0.7993861607142857
0.015,0888,7168,1925,0.2685546875
0.015,0889,7168,3179,0.44349888392857145
0.015,0890,7168,5840,0.8147321428571429
0.015,0891,7168,4090,0.5705915178571429
0.015,0892,7168,5772,0.8052455357142857
0.015,0893,7168,2366,0.330078125
0.015,0894,7168,2181,0.3042689732142857
0.015,0895,7168,5986,0.8351004464285714
0.015,0896,7168,1106,0.154296875
0.015,0897,7168,7108,0.9916294642857143
0.015,0898,7168,3176,0.44308035714285715
0.015,0899,7168,5296,0.7388392857142857
0.015,0900,7168,5158,0.7195870535714286
0.02,0869,7168,6636,0.92578125
0.02,0870,7168,2988,0.41685267857142855
0.02,0871,7168,3390,0.47293526785714285
0.02,0872,7168,5815,0.8112444196428571
0.02,0873,7168,6501,0.9069475446428571
0.02,0874,7168,3842,0.5359933035714286
0.02,0875,7168,6524,0.91015625
0.02,0876,7168,6731,0.9390345982142857
0.02,0877,7168,490,0.068359375
0.02,0878,7168,2024,0.28236607142857145
0.02,0879,7168,5509,0.7685546875
0.02,0880,7168,4784,0.6674107142857143
0.02,0881,7168,6812,0.9503348214285714
0.02,0882,7168,4549,0.6346261160714286
0.02,0883,7168,6299,0.8787667410714286
0.02,0884,7168,5969,0.8327287946428571
0.02,0885,7168,6851,0.9557756696428571
0.02,0886,7168,1738,0.24246651785714285
0.02,0887,7168,5325,0.7428850446428571
0.02,0888,7168,1327,0.18512834821428573
0.02,0889,7168,2228,0.31082589285714285
0.02,0890,7168,5281,0.7367466517857143
0.02,0891,7168,3329,0.4644252232142857
0.02,0892,7168,4862,0.6782924107142857
0.02,0893,7168,1396,0.19475446428571427
0.02,0894,7168,1717,0.23953683035714285
0.02,0895,7168,4949,0.6904296875
0.02,0896,7168,674,0.09402901785714286
0.02,0897,7168,7052,0.9838169642857143
0.02,0898,7168,2453,0.3422154017857143
0.02,0899,7168,4912,0.6852678571428571
0.02,0900,7168,4274,0.5962611607142857
0.025,0869,7168,6418,0.8953683035714286
0.025,0870,7168,1802,0.2513950892857143
0.025,0871,7168,2369,0.3304966517857143
0.025,0872,7168,5177,0.7222377232142857
0.025,0873,7168,6117,0.8533761160714286
0.025,0874,7168,3051,0.42564174107142855
0.025,0875,7168,6134,0.8557477678571429
0.025,0876,7168,6415,0.8949497767857143
0.025,0877,7168,263,0.03669084821428571
0.025,0878,7168,1411,0.19684709821428573
0.025,0879,7168,5081,0.7088448660714286
0.025,0880,7168,2676,0.37332589285714285
0.025,0881,7168,6523,0.9100167410714286
0.025,0882,7168,4157,0.5799386160714286
0.025,0883,7168,4826,0.6732700892857143
0.025,0884,7168,4934,0.6883370535714286
0.025,0885,7168,6617,0.9231305803571429
0.025,0886,7168,1025,0.14299665178571427
0.025,0887,7168,4896,0.6830357142857143
0.025,0888,7168,944,0.13169642857142858
0.025,0889,7168,1581,0.22056361607142858
0.025,0890,7168,4842,0.6755022321428571
0.025,0891,7168,2708,0.37779017857142855
0.025,0892,7168,4044,0.5641741071428571
0.025,0893,7168,892,0.12444196428571429
0.025,0894,7168,1351,0.1884765625
0.025,0895,7168,4117,0.5743582589285714
0.025,0896,7168,461,0.06431361607142858
0.025,0897,7168,6974,0.9729352678571429
0.025,0898,7168,1808,0.25223214285714285
0.025,0899,7168,4415,0.6159319196428571
0.025,0900,7168,3774,0.5265066964285714
0.03,0869,7168,6130,0.8551897321428571
0.03,0870,7168,1047,0.14606584821428573
0.03,0871,7168,1495,0.20856584821428573
0.03,0872,7168,4557,0.6357421875
0.03,0873,7168,5740,0.80078125
0.03,0874,7168,2328,0.3247767857142857
0.03,0875,7168,5621,0.7841796875
0.03,0876,7168,5929,0.8271484375
0.03,0877,7168,141,0.019670758928571428
0.03,0878,7168,942,0.13141741071428573
0.03,0879,7168,4588,0.6400669642857143
0.03,0880,7168,1137,0.15862165178571427
0.03,0881,7168,5798,0.8088727678571429
0.03,0882,7168,3637,0.5073939732142857
0.03,0883,7168,3046,0.42494419642857145
0.03,0884,7168,4243,0.5919363839285714
0.03,0885,7168,6147,0.8575613839285714
0.03,0886,7168,551,0.07686941964285714
0.03,0887,7168,4464,0.6227678571428571
0.03,0888,7168,708,0.09877232142857142
0.03,0889,7168,1044,0.14564732142857142
0.03,0890,7168,4446,0.6202566964285714
0.03,0891,7168,2166,0.3021763392857143
0.03,0892,7168,3162,0.44112723214285715
0.03,0893,7168,609,0.0849609375
0.03,0894,7168,1120,0.15625
0.03,0895,7168,3405,0.4750279017857143
0.03,0896,7168,339,0.04729352678571429
0.03,0897,7168,6865,0.9577287946428571
0.03,0898,7168,1263,0.17619977678571427
0.03,0899,7168,3806,0.5309709821428571
0.03,0900,7168,3304,0.4609375
0.04,0869,7168,5298,0.7391183035714286
0.04,0870,7168,309,0.04310825892857143
0.04,0871,7168,567,0.0791015625
0.04,0872,7168,3782,0.5276227678571429
0.04,0873,7168,4853,0.6770368303571429
0.04,0874,7168,1282,0.17885044642857142
0.04,0875,7168,4527,0.6315569196428571
0.04,0876,7168,5010,0.6989397321428571
0.04,0877,7168,35,0.0048828125
0.04,0878,7168,361,0.05036272321428571
0.04,0879,7168,3644,0.5083705357142857
0.04,0880,7168,75,0.010463169642857142
0.04,0881,7168,4410,0.615234375
0.04,0882,7168,2501,0.34891183035714285
0.04,0883,7168,756,0.10546875
0.04,0884,7168,3181,0.4437779017857143
0.04,0885,7168,5180,0.72265625
0.04,0886,7168,192,0.026785714285714284
0.04,0887,7168,3421,0.47726004464285715
0.04,0888,7168,474,0.06612723214285714
0.04,0889,7168,382,0.05329241071428571
0.04,0890,7168,3536,0.49330357142857145
0.04,0891,7168,1385,0.19321986607142858
0.04,0892,7168,1428,0.19921875
0.04,0893,7168,353,0.04924665178571429
0.04,0894,7168,679,0.0947265625
0.04,0895,7168,2682,0.37416294642857145
0.04,0896,7168,133,0.0185546875
0.04,0897,7168,6185,0.8628627232142857
0.04,0898,7168,527,0.07352120535714286
0.04,0899,7168,2766,0.38588169642857145
0.04,0900,7168,2424,0.33816964285714285
0.05,0869,7168,4462,0.6224888392857143
0.05,0870,7168,80,0.011160714285714286
0.05,0871,7168,179,0.024972098214285716
0.05,0872,7168,3185,0.4443359375
0.05,0873,7168,3642,0.5080915178571429
0.05,0874,7168,580,0.08091517857142858
0.05,0875,7168,3138,0.43777901785714285
0.05,0876,7168,3678,0.5131138392857143
0.05,0877,7168,1,0.00013950892857142856
0.05,0878,7168,163,0.022739955357142856
0.05,0879,7168,2598,0.36244419642857145
0.05,0880,7168,10,0.0013950892857142857
0.05,0881,7168,3350,0.4673549107142857
0.05,0882,7168,1514,0.21121651785714285
0.05,0883,7168,180,0.025111607142857144
0.05,0884,7168,2159,0.3011997767857143
0.05,0885,7168,4060,0.56640625
0.05,0886,7168,56,0.0078125
0.05,0887,7168,2518,0.35128348214285715
0.05,0888,7168,300,0.04185267857142857
0.05,0889,7168,102,0.014229910714285714
0.05,0890,7168,2551,0.3558872767857143
0.05,0891,7168,833,0.1162109375
0.05,0892,7168,489,0.06821986607142858
0.05,0893,7168,175,0.0244140625
0.05,0894,7168,465,0.06487165178571429
0.05,0895,7168,2074,0.28934151785714285
0.05,0896,7168,35,0.0048828125
0.05,0897,7168,4803,0.6700613839285714
0.05,0898,7168,175,0.0244140625
0.05,0899,7168,1743,0.2431640625
0.05,0900,7168,1526,0.212890625
0.075,0869,7168,2345,0.3271484375
0.075,0870,7168,6,0.0008370535714285714
0.075,0871,7168,0,0.0
0.075,0872,7168,1809,0.2523716517857143
0.075,0873,7168,985,0.13741629464285715
0.075,0874,7168,39,0.005440848214285714
0.075,0875,7168,381,0.05315290178571429
0.075,0876,7168,1287,0.17954799107142858
0.075,0877,7168,0,0.0
0.075,0878,7168,27,0.0037667410714285715
0.075,0879,7168,536,0.07477678571428571
0.075,0880,7168,0,0.0
0.075,0881,7168,907,0.12653459821428573
0.075,0882,7168,328,0.04575892857142857
0.075,0883,7168,1,0.00013950892857142856
0.075,0884,7168,276,0.03850446428571429
0.075,0885,7168,1115,0.15555245535714285
0.075,0886,7168,1,0.00013950892857142856
0.075,0887,7168,971,0.13546316964285715
0.075,0888,7168,181,0.025251116071428572
0.075,0889,7168,0,0.0
0.075,0890,7168,498,0.06947544642857142
0.075,0891,7168,147,0.0205078125
0.075,0892,7168,1,0.00013950892857142856
0.075,0893,7168,10,0.0013950892857142857
0.075,0894,7168,105,0.0146484375
0.075,0895,7168,396,0.05524553571428571
0.075,0896,7168,0,0.0
0.075,0897,7168,480,0.06696428571428571
0.075,0898,7168,7,0.0009765625
0.075,0899,7168,322,0.044921875
0.075,0900,7168,394,0.054966517857142856
0.1,0869,7168,906,0.12639508928571427
0.1,0870,7168,0,0.0
0.1,0871,7168,0,0.0
0.1,0872,7168,416,0.05803571428571429
0.1,0873,7168,104,0.014508928571428572
0.1,0874,7168,0,0.0
0.1,0875,7168,26,0.003627232142857143
0.1,0876,7168,413,0.0576171875
0.1,0877,7168,0,0.0
0.1,0878,7168,1,0.00013950892857142856
0.1,0879,7168,25,0.0034877232142857145
0.1,0880,7168,0,0.0
0.1,0881,7168,84,0.01171875
0.1,0882,7168,29,0.004045758928571429
0.1,0883,7168,0,0.0
0.1,0884,7168,33,0.004603794642857143
0.1,0885,7168,85,0.011858258928571428
0.1,0886,7168,0,0.0
0.1,0887,7168,138,0.019252232142857144
0.1,0888,7168,78,0.010881696428571428
0.1,0889,7168,0,0.0
0.1,0890,7168,123,0.017159598214285716
0.1,0891,7168,8,0.0011160714285714285
0.1,0892,7168,0,0.0
0.1,0893,7168,0,0.0
0.1,0894,7168,13,0.0018136160714285715
0.1,0895,7168,40,0.005580357142857143
0.1,0896,7168,0,0.0
0.1,0897,7168,6,0.0008370535714285714
0.1,0898,7168,0,0.0
0.1,0899,7168,18,0.0025111607142857145
0.1,0900,7168,59,0.008231026785714286
